user_id,age,city,total_income,rent_spending,food_spending,transport_spending,shopping_spending,entertainment_spending,current_savings,risk_profile,goal_amount,goal_months
1000,31,Da Nang,16900000,3912869,4307219,1955244,1929225,1526994,3268446,Tăng trưởng,200000000,24
1001,24,Da Nang,11200000,2241205,3773535,1339876,474290,564189,2806902,Tăng trưởng,20000000,60
1002,32,Ho Chi Minh City,18300000,6303844,5108120,1962246,1211975,724569,2989243,Cân bằng,300000000,16
1003,22,Hai Phong,9400000,2137097,2507997,1214326,1233704,912096,1394776,Cân bằng,100000000,46
1004,34,Ho Chi Minh City,17600000,4678221,5666237,2485527,877684,1268642,2623687,An toàn,150000000,11
1005,29,Da Nang,14500000,2850379,3773874,1460812,1148183,1237550,4029199,An toàn,50000000,31
1006,26,Ho Chi Minh City,11700000,3401293,2624721,1476389,1389766,987811,1820018,An toàn,50000000,11
1007,35,Hanoi,18800000,5530748,6341457,1485385,2510365,1476850,1455193,Tăng trưởng,50000000,24
1008,32,Hai Phong,16300000,2197952,5937228,2486260,1950123,2003588,1724846,Tăng trưởng,20000000,51
1009,19,Ho Chi Minh City,6800000,2092796,1447937,922209,286123,686152,1364781,Cân bằng,150000000,41
1010,24,Can Tho,10500000,1971638,3658905,1010173,1287735,934527,1637019,Cân bằng,20000000,57
1011,35,Hanoi,17100000,3869135,4162459,1845940,1690773,854269,4677422,Cân bằng,200000000,44
1012,21,Hanoi,8700000,2411839,2552534,1044617,1115778,682130,893099,Cân bằng,150000000,55
1013,31,Hai Phong,14700000,2704409,5413364,1287754,1936955,1097440,2260075,An toàn,300000000,54
1014,27,Ho Chi Minh City,13900000,4642519,4254648,1828337,1538637,1103666,532190,An toàn,100000000,30
1015,28,Can Tho,14400000,2458656,4465694,1614959,1580799,1168291,3111598,Cân bằng,50000000,7
1016,20,Can Tho,7600000,1330311,2086985,762031,1141589,822162,1456919,Cân bằng,50000000,37
1017,35,Da Nang,22000000,4148005,6249824,2269527,3274307,2515320,3543014,An toàn,20000000,27
1018,27,Hanoi,13800000,3350363,4814045,1188049,1729813,1540920,1176807,Cân bằng,150000000,26
1019,31,Can Tho,16700000,3301047,5067282,2124097,2638315,1902995,1666260,An toàn,150000000,28
1020,30,Da Nang,15800000,3295897,4997521,2195926,2250776,1210206,1849670,Tăng trưởng,200000000,49
1021,32,Ho Chi Minh City,18000000,5919937,5554899,1528492,769280,1691047,2536342,An toàn,100000000,16
1022,22,Can Tho,9200000,945953,3102056,1517947,1418957,432942,1782142,Cân bằng,20000000,32
1023,32,Da Nang,17100000,3842773,4904030,2493507,1269552,1720248,2869886,An toàn,150000000,16
1024,19,Hai Phong,6800000,1222167,2103690,1019919,838806,628583,986832,Cân bằng,100000000,47
1025,19,Ho Chi Minh City,6800000,1990948,1547455,871019,457487,501117,1431970,An toàn,150000000,30
1026,27,Hai Phong,12700000,2462257,3389527,1816673,642346,1529663,2859530,An toàn,200000000,43
1027,20,Da Nang,7900000,1379741,2880284,923947,1225284,747761,742980,Cân bằng,300000000,10
1028,29,Da Nang,15000000,2520015,4102535,2095693,2450999,1215694,2615061,Cân bằng,20000000,41
1029,22,Hanoi,9200000,2268007,2140963,1078903,1278239,808768,1625116,Cân bằng,100000000,32
1030,27,Ho Chi Minh City,14100000,3821299,3595680,1543011,1353100,1400111,2386796,Cân bằng,20000000,44
1031,24,Da Nang,10000000,1523167,4063605,1281715,435454,1153494,1542561,Cân bằng,50000000,47
1032,28,Hai Phong,12500000,2221545,4888580,1676725,1630465,571987,1510694,An toàn,300000000,22
1033,26,Da Nang,12400000,2875777,4508956,1249603,1602927,764183,1398551,Cân bằng,20000000,55
1034,33,Da Nang,17100000,3311958,5364256,2506221,1497902,1729669,2689991,Tăng trưởng,150000000,16
1035,33,Da Nang,17500000,3819943,6537861,2445648,2569971,956434,1170139,Tăng trưởng,150000000,58
